,hindi,predicted,test
0,अरमानों,aramaanon,armaano
1,सरकार,sarakaar,sarkar
2,आपका,aapaka,apaka
3,बहकना,bahakana,bahekna
4,दोहरा,doharaa,dohara
5,साहब,saahab,sahab
6,मदमस्त,madamast,madamast
7,छाले,chhale,chhaale
8,किये,kiye,kiye
9,सुनेहरी,sunehri,sunehari
10,उजली,ujli,ujalee
11,ज़ंगें,zangen,zangein
12,मुसकाई,muskaayi,musakaaii
13,अदाएं,adaayen,adaayen
14,रुद्रा,rudraa,rudra
15,गुज़रो,guzaro,guzaro
16,ताना,taana,taanaa
17,नचाया,nachaayaa,nachaya
18,वोटी,voti,voti
19,टुकड़ों,tukadon,tukdon
20,मुननू,munnu,munnu
21,जगाय,jagaaya,jagaay
22,पाई,pai,paayi
23,झोंका,jhonka,jhoka
24,बसती,basati,baste
25,चुप,chupa,chup
26,हरबातूं,harabaaton,harabaatuun
27,बनूंगा,banuunga,banuungaa
28,दा,da,daa
29,कहाऊँ,kahaauun,khaun
30,आमिर,aamir,aamir
31,बू,bu,buu
32,कहने,kahane,kehene
33,कोहरा,kohara,kohara
34,बिकती,bikati,bikti
35,छोड़ूँगी,chhoduungi,chhodungi
36,पहनाऊँगा,pahanaauunga,pahanaaunga
37,दाबा,daaba,daabaa
38,जाउँगी,jaayungi,jaungi
39,खाएगा,khaaegaa,khaayega
40,खाएंगे,khaaenge,khaaenge
41,ढूँढती,dhundti,dhoodti
42,गुमाँ,gumaan,gumaan
43,दोरंगी,dorangi,dorangi
44,क्या,kiya,kaa
45,तांडव,tandav,taandav
46,भेजे,bheje,bheje
47,निगहबाँ,nigahabaan,nigahabaan
48,बाद्शाहों,baadshaaho,baadshaahon
49,झगड़ने,jhagadne,jhagadne
50,चोंच,chon,chonch
51,बहे,bahe,baahe
52,फिरे,phire,fire
53,मजबूर,majabur,majabur
54,नशीनों,nashinon,nashinon
55,बताओ,bataao,batavo
56,मँगाई,mangaai,mangaai
57,नवाजिश,navaajish,navaajish
58,बिगड़ी,bigadi,bigadii
59,हवाओ,hawaao,hawaaon
60,दाल,dala,daal
61,आइना,aaina,aina
62,कड़वी,kadavi,kadavi
63,फ़ासले,faasale,faasale
64,धोंडीबा,dhondibaa,dhondiba
65,चौरंगी,chaurangi,chaurangi
66,नमामि,namaami,namaami
67,अहल,ahal,ahel
68,दीवाना,deewaana,diwaanaa
69,लानत,laanat,laanat
70,रामपुर,raamapur,raamapur
71,बम्बा,bamba,bambaa
72,डले,dale,dale
73,इरादा,iraada,yraadaa
74,ज़लज़ला,zalazaala,zalzala
75,कहाँ,kahaan,khabar
76,इंतकाम,intakaam,intkam
77,बिताये,bitaaye,bitayen
78,बलमा,balama,baalamaa
79,सजदे,sajde,sajjde
80,कपड़ा,kapadaa,kapada
81,पैमाना,paimaana,paimaana
82,चुवा,chuva,chuwa
83,अंगूठी,anguthi,anguthi
84,देना,dena,dienaa
85,उलझनों,ulajhanon,uljhano
86,सूझे,sujhe,sujhe
87,पत्थर,pathar,patthar
88,बिताऊँ,bitaaun,bitanoo
89,मुद्रा,mudra,mudra
90,बोलते,bolate,bolate
91,पहचानेगी,pahachaanegi,pahachaanegi
92,मचलूँ,machalun,machaloon
93,अंजान,anjaan,anjan
94,तन्हाईयाँ,tanhaaiyaan,tanhaiyaan
95,खुदाई,khudaai,khudaaii
96,आयेगा,aayegaa,aayega
97,मुखातिब,mukhaabti,mukhaatib
98,जाएँगे,jayenge,jaayeinge
99,निगाहें,nigaahen,nigaahe
100,सरब,sarab,sarab
101,द,d,d
102,तड़पा,tadapa,tadapaa
103,पिलाए,pilaaye,pilaaye
104,हैदराबादी,haidarabaadi,haidaraabaadi
105,बेरी,beri,beri
106,बदे,bade,bade
107,मुकाबला,mukaabala,mukaabalaa
108,सरसराएं,sarasaraayen,sarsaraayein
109,पराये,paraye,paraaye
110,सिमला,simala,simala
111,झुत,jhut,jhut
112,हँसके,haske,hansake
113,दूरी,duri,duuri
114,लाबोको,labok,laboko
115,आजमाना,aajamaana,azamana
116,सादगी,saadgi,saadagii
117,तनहा,tanaha,tanahaa
118,नहीन,nahin,naheen
119,गुन,gun,gun
120,दुआएँ,duaaye,duayen
121,खोलते,kholate,kholate
122,पटाखा,pataakhaa,pataakha
123,लुत्फ़,lutf,lutf
124,लाती,laati,lati
125,अरमानोन,aramaanon,aramaanon
126,निरदर्दी,niradadri,niradardi
127,अम्बुआ,ambua,ambuaa
128,जुबां,jubaan,zubaan
129,बदलनेवाले,badalanevaale,badalanewaale
130,मुस्कुरा,muskuraa,muskurake
131,जताना,jataana,jatana
132,खाएँगे,khaaenge,khaayenge
133,बसैया,basiya,basaiya
134,उतर,utr,utar
135,करुँगा,karunga,karungaa
136,मिलाना,milaana,milana
137,बिगड़ी,bigadi,bigde
138,किट्ता,kitta,kitta
139,नामंज़ूर,naamanuzr,naamanzuur
140,हवायें,hawaayen,hawaayein
141,दुश्मन,dushman,dushaman
142,डालियाँ,daaliyaan,daaliyan
143,करिमत,karimat,karimat
144,किशोरम,kishomr,kishoram
145,गली,gali,gali
146,क़तरे,qatare,qatare
147,भगवान,bhagavaan,bhagavaan
148,लाये,laay,laai
149,पी,pi,pii
150,अनुरागी,anuraagi,anuraagee
151,झपना,jhapana,jhapana
152,उतरेंगे,utarenge,utarenge
153,चोला,chola,cholaa
154,ज़रा,zaraa,zara
155,देगी,degi,degii
156,मन्ज़िलें,manzilen,manzile
157,लापता,laapata,lapata
158,महका,mahaka,mahkaa
159,सूही,suhi,suhi
160,तारों,taron,taaro
161,पिघलती,pighalati,pighalti
162,देखने,dekhne,dekhane
163,काँची,kaachin,kaanchi
164,तारा,tara,taara
165,हाय,haay,haye
166,मेहमान,mehumaan,mehamaan
167,रहने,rahane,rahane
168,सताओ,sataao,sataon
169,ते,te,te
170,किताबें,kitaben,kitaaben
171,वी,vai,ve
172,पाएगा,payega,paaegaa
173,आला,aalaa,ala
174,दुखियारे,dukhiyaare,dukhiyaare
175,वखियाँ,vakhiyaan,vakiyaan
176,झेंप,jhen,jhenp
177,कारा,kaara,kaara
178,भुलाऊं,bhulaaun,bhulaauun
179,जालाके,jaalake,jalaake
180,पुतले,putale,putle
181,जवानियाँ,jawaaniyaa,javaaniyaan
182,सर्दी,sardi,sardi
183,बेकरारी,bekaraari,bekaaraari
184,वहीं,vahin,wahin
185,रोकें,roken,rokein
186,गुलसिताँ,gulsita,gulasitaan
187,टाक,taak,taak
188,झन,jhan,jan
189,वीना,vina,vina
190,बालों,baalon,baalo
191,पूरा,pooraa,pura
192,खोकर,khokar,khokar
193,खुशियां,khushiyaan,khushiyaan
194,छुपाऊंगी,chhupaungi,chhupaaungi
195,चूनरिया,chunariya,chunariyaan
196,गर्दिशें,gardishen,gardishein
197,गहना,gehanaa,gahana
198,सुधारन,sudhaaran,sudhaaran
199,हवायें,hawaayen,hawayein
200,मेहरबानियां,meharabaaniyaan,meharabaaniyaan
201,रचाये,rachaaye,rachaaye
202,खुजली,khujali,khujali
203,उसे,use,usike
204,सानेहा,saaneha,saanehaa
205,पछताये,pachhataaye,pechtaye
206,हरी,hari,haree
207,पुकारूँ,pukaaruun,pukaroon
208,अलबेली,alabeli,alabeli
209,ठाकुर,thaakur,thaakur
210,गाली,gaali,gaali
211,गुज़ारना,guzaarana,guzaarana
212,बखाने,bakhaane,bakhaane
213,में,men,menu
214,समुद्र,samudra,samudr
215,नागन,naagan,nagan
216,चुराये,churaaye,churaaye
217,मुदका,mudaka,mudka
218,सलीम,salim,saleem
219,सिखाए,sikhaaye,sikhaye
220,बसाने,basaane,basane
221,हज़ारों,hazaaron,hazaro
222,सकून,sakuun,sakuun
223,बिराजे,biraaje,biraaje
224,उजड़के,ujadake,ujadke
225,तरसती,tarasti,tarasati
226,सिमटना,simataana,simatanaa
227,पपीहा,papihaa,papiha
228,ज,j,jo
229,छोड़,chod,chhoda
230,सपनी,sapani,sapani
231,धितंग,dhitagan,dhitang
232,अमन,aman,aman
233,बनियान,baniyaan,baniyaan
234,कसाई,kasaai,kasaai
235,दावत,daavat,davat
236,बाहों,baahon,bahon
237,चाक़,chaa,chaaq
238,बन्दगी,bandagi,bandagii
239,मुसका,muskaa,musaka
240,जाना,jaana,jalaa
241,सजाऊँ,sajaaun,sajaaun
242,ज़ोहरा,zoharaa,zohra
243,फरार,faraar,faraar
244,खालि,khaali,khali
245,नाशी,naashi,nashi
246,निर्बल,nirbal,nirbal
247,मिलानेवाले,milaanewaale,milaanewaale
248,मुसव्विर,musvavir,musavvir
249,पहली,pahali,pahli
250,मदमस्त,madamast,madmasta
251,उतरेगी,utaregi,utregi
252,रवाँ,ravaan,ravaan
253,तड़पके,tadapake,tadapake
254,सहलाओ,sahalaao,sahalaao
255,रंगवायेंगे,rangavaayenge,rangavaayenge
256,मधुमिता,madhumita,madhumita
257,हमराही,hamrahi,hamaraahi
258,बातिलपना,baatilapan,baatilapana
259,मरासिम,marasim,maraasim
260,तबला,tabala,tabla
261,लुटाना,lutaana,lutaana
262,डूबते,doobate,dubate
263,पाटी,paati,paati
264,बढ़ते,badhate,badhte
265,सुकूँ,sukuun,sukun
266,आजाए,aajaae,aajaae
267,तड़पाएगी,tadapaayegi,tadpaayegi
268,आती,aati,ahti
269,चकोरी,chakori,chakorii
270,ज़िद,zid,zidd
271,चहरे,chahare,chehare
272,ख़ाबों,kabon,khaabon
273,मासूम,maasum,masoom
274,लग्न,lagan,lagn
275,मदीना,madina,madeenaa
276,आँक,aak,aankh
277,समाए,samaaye,samaye
278,मजबूरियाँ,majbooriyaan,majabooriyaan
279,फ़न,fan,fan
280,चिमना,chimana,chimna
281,इत्ता,ittaa,itta
282,लड़ाई,ladaai,ladaai
283,गिरना,girana,girana
284,सेजें,sejen,sejen
285,सियासतों,siyaaston,siyaasato
286,बा,ba,baa
287,लूँगी,luungi,luungii
288,बनकर,banakar,bankar
289,चाहे,chaahe,chahe
290,अल्ला,alla,allaah
291,नुमाइश,numaaish,numaaish
292,पपीता,papita,papeeta
293,राविता,raavita,raawita
294,बलमा,balama,balmaan
295,बेशुमार,beshumaar,beshumaar
296,जाणा,jaan,jaana
297,नीना,nina,neena
298,बच्चू,bachchu,bachchu
299,उपकार,upakaar,upkaar
300,दूँगा,dunga,dungaa
301,पीस,pis,pis
302,बेइमां,beimaan,beimaan
303,तलमलाती,talamalaai,talamalaati
304,स्वर्ग,svarg,swarg
305,निगाहोँ,nigaahon,nigaahon
306,दिल्लगी,dillagi,dillagii
307,खोटी,khoti,khoti
308,भरने,bharne,barne
309,गँवाके,ganvaake,ganvaake
310,होल्ड,hold,hold
311,बाँहें,baanhen,baahen
312,रसिया,rasiya,rasiya
313,दनादन,danadaan,danaadan
314,आऊँगी,aaoongi,aaungi
315,पलच्छीं,pachalchain,palchhin
316,पुए,pue,pue
317,बरसेगा,barasega,barasegaa
318,खेलिए,kheliye,kheliye
319,बसन,basan,basan
320,फुहार,phuhaar,fuhaar
321,लुटाएं,lutaayen,lutaayein
322,भिक्षा,bhikshaa,bhiksha
323,उसूल,usul,usuul
324,घरोंदों,gharondo,gharondon
325,ठुमका,thumakaa,thumka
326,आबो,abao,aabo
327,सपनों,sapanon,sapanon
328,कुंडी,kundi,kundi
329,भिगोया,bhigoyaa,bhigoya
330,खनकेंगे,khanakenge,khanakenge
331,पी,pi,pe
332,बयां,bayaan,bayaan
333,इज़हार,izahaar,izhaar
334,बचाना,bachaana,bachana
335,वट्टू,vatut,vattu
336,गिरोगे,giroge,giroge
337,सरोवर,sarovar,sarovar
338,उजियारे,ujiyaare,ujiyaare
339,परबत,parabat,parabat
340,तकना,takana,takna
341,आशिक़ाना,aashiqaana,aashiqana
342,बिछायी,bichaayi,bichhaayii
343,डोरी,dori,dorii
344,बचना,bachana,bachana
345,आरा,aaraa,aara
346,पछताएगी,pachataayegi,pachtayegi
347,मोहलत,mohalat,mohlat
348,दीप,deep,diip
349,पूछोगे,puchooge,poochhoge
350,पूछे,puchhe,pooche
351,जातीं,jaatin,jaati
352,लगन,lagan,lagan
353,जुबाँ,jubaan,jubaann
354,झूमने,jhuumane,jhumne
355,चूमूँ,chooomon,choomun
356,प्यारि,pyaari,pyaari
357,जये,jaaye,jaye
358,उठायें,uthaye,uthaayen
359,अहद,ahad,ahad
360,बेहतरी,behetri,behatari
361,जगमगाये,jagamagaaye,jagmagaaye
362,मुझमे,mujhame,mujhamen
363,उतारूँ,utaaruun,utaaruun
364,निहानियां,nihaaniyaan,nihaaniyaan
365,बिछते,bichhate,bichhate
366,उतरती,utarati,utarate
367,दिशा,disha,dishaa
368,इसे,ise,isse
369,रोया,roya,royaa
370,मुस्कुराना,muskuraana,muskuraanaa
371,बुद्धू,buddhu,bhudhu
372,करेंगी,karengi,karengi
373,उतरते,utarate,utarte
374,जहान,jahaan,jahaan
375,विध,vidh,vidh
376,पुकारती,pukaarati,pukaaratii
377,चारागराँ,chaaraanagaar,chaaraagaraan
378,जाऊँ,jaauun,jaayun
379,सच्चों,sachchon,sachchon
380,पास,paas,paasa
381,पिंजरा,pinjaraa,pinjra
382,ख़ाली,kaali,khali
383,पावे,paave,paavey
384,अपनाएंगे,apanaaenge,apanaayenge
385,मिटेगी,mitegi,mitegi
386,बिगड,bidag,bigad
387,रसतों,rasaton,rasaton
388,गुज़ारूं,guzaaroon,guzaarun
389,मंहगी,manhagi,manhagi
390,पहुँचा,pahuncha,pahunchaa
391,आपका,aapaka,aapkaa
392,खराब,kharab,kharaab
393,एह्सास,hessa,ehsaas
394,सबको,sabako,sabhko
395,जाय,jaa,jaaye
396,रुत,rut,rutt
397,आँचरा,aanchara,aancharaa
398,जनेमन,janeman,janeman
399,दिखलाती,dikhalaati,dikhalaatee
400,गलियां,galiyaan,galiyaam
401,इनमें,inmae,inamein
402,घुटे,ghute,ghute
403,हमप्याला,hampayala,hamapyaala
404,कागा,kaagaa,kaga
405,मारा,mara,mara
406,टुन्ना,tunna,tunna
407,इन्दर,indar,indar
408,मर्ज़,marz,marz
409,मनालूँ,manaaluun,manaaluun
410,ख़ाबों,kabon,kaabon
411,बतियाँ,batiyaa,batiyaan
412,अफ़सानों,afasaanon,afasaanon
413,बूम,boom,buum
414,परछाईं,parchaayi,parchayee
415,डूब,dubu,dhub
416,अदला,adala,adla
417,नैंना,nainana,nainaa
418,बनवाके,banavaake,banavaake
419,आस्ताने,aastaane,aastaane
420,सू,su,soo
421,आवें,aaven,aavein
422,निहा,niha,niha
423,फिदा,fidaa,fida
424,वफ़ादारी,vafaadaari,wafadaari
425,भिखारी,bhikhaari,bhikhaarii
426,लड़ाऊँगा,ladaaoonga,ladaauunga
427,भुलेगा,bhulega,bhulega
428,तपने,tapane,tapane
429,प्यासी,pyaasi,pyaasii
430,सोये,soye,soye
431,सुहावन,suhavaan,suhaavan
432,रास्तों,raaston,raasto
433,मुझमे,mujhame,mujhme
434,साँच,saanch,saanch
435,चमचम,chamacham,chamacham
436,छपवा,chhapava,chhapava
437,छायेगी,chhaayegi,chhayegee
438,कुझ,kujh,kujh
439,खूबसूरत,khubasurat,khuubasurat
440,नौजवान,naujawaan,naujavaan
441,कमजोरियों,kamajoriyon,kamajoriyon
442,कुर्र,kura,kurr
443,हौले,haule,haulle
444,गुड़ियों,gudiyon,gudiyon
445,ज़ह्रीले,zahreele,zahrile
446,नाकामी,naakamai,naakaami
447,रिझाएंगे,rijhaaenge,rijhaayenge
448,मम,mam,mam
449,नकली,nakli,nakali
450,नज़रीया,najariya,nazariyaa
451,मूँद,moond,muund
452,नाते,naate,nahtey
453,पम,pam,pum
454,महकी,mahaki,mehaki
455,रसमें,rasameen,rasme
456,बगानों,bagaanon,bagaanon
457,सलोना,salonaa,salona
458,वीराँ,viraan,viiraan
459,परिन्दों,parindon,parindon
460,तितली,titali,titalee
461,पीयू,piyu,piyu
462,गिला,gila,gilaa
463,यक,yak,yak
464,लिपट,lipat,lipat
465,बनि,bani,bani
466,द्ल,da,dil
467,नज़ारा,nazaara,najaaraa
468,फूलेंगी,phuulengi,foolengee
469,अंगारा,angaaraa,angaaraa
470,पिघलता,pighalata,pighalta
471,चाह,chaha,chaah
472,अलस्त,alsat,alast
473,कीजिए,kiiji,kijiye
474,पायें,paayen,paaye
475,इस्मत,ismat,ismat
476,किसलिए,kisalii,kisaliye
477,गिरो,giro,giro
478,ढाया,dhaaya,dhaya
479,तूफ़ानी,tufaani,tufaanee
480,ख़ूबसूरत,khubasurat,koobasuurat
481,बाट,baa,baat
482,मन्दर,mandar,mandar
483,गी,gi,gi
484,कुमार,kumaar,kumaar
485,मसर्रत,masarrat,masarrt
486,झुक,juk,jhuk
487,रूसी,rusi,roosi
488,रचाई,rachaayi,rachaai
489,जाएगा,jaayega,jaaegaa
490,सालीजी,saaliji,saaleeji
491,अच्छाई,achchai,achchhaayi
492,नोट,not,not
493,टपका,tapaka,tapaka
494,लगीं,lageen,lagiin
495,जुनोओन,junoon,junoon
496,अमीरी,ameeri,amiri
497,आजमाना,aajamaana,aazmaana
498,समझाते,samjhaate,samajhaate
499,एकहू,ekhau,ekahu
500,जगानेवाला,jagaanevaala,jagaanevaala
501,वादा,wadaa,wada
502,गिरेबाँ,girebaan,girebaan
503,डूबेगा,dubega,doobegaa
504,खोजा,khoja,khoja
505,सँसार,sansar,sansaar
506,वीर,vir,vir
507,सम्भलता,sambhalta,sambhaltaa
508,इसलिए,isalii,isaliye
509,फ़र्माया,farmaaya,farmaayaa
510,मिटके,mitake,mitke
511,पूछा,puchaa,puuchhaa
512,रक्त,rakt,rakt
513,रेखाओं,rekhaaon,rekhaon
514,गुरबत,gurabat,gurbat
515,मान्गने,maanagne,maangane
516,जाने,jaan,jaano
517,मुस्कुराने,muskuraane,muskuraaye
518,रसिया,rasiya,rasiyaa
519,बूंदें,buunde,boonden
520,निकला,nikala,nikalaa
521,बुने,bune,boone
522,ग़ुज़ारूँ,guzaaruun,guzaaruun
523,अनाथ,anaat,anaath
524,बेक़रार,beqarar,bekarar
525,बेवजह,bejavah,bevajah
526,बदलते,badalate,badalate
527,जानलेवा,jaanaleva,jaanaleva
528,सब्नू,sabun,sabnu
529,बोनी,boni,boni
530,तन्हाइयां,tanhaaiyaan,tanhaiyaan
531,सताए,sataaye,sataaye
532,जा,ja,jaae
533,बहलाए,bahalaaye,bahelaaye
534,झंकार,jhankaar,jankar
535,चुराए,churaaye,churaae
536,नहाया,nahaaya,nahaayaa
537,मिलाएंगे,milaayenge,milaayenge
538,धुलाता,dhulaata,dhulaataa
539,चम्पा,champa,champaa
540,सीली,sili,sili
541,पूछती,puuchhati,puuchhatii
542,नींदों,neendon,nindon
543,बैठिये,baithiye,baithiye
544,दिलवर,dilavar,dilavar
545,सुखी,sukhi,sukhi
546,जमायें,jamaaye,jamaayen
547,कलेजा,kaleja,kalejaa
548,रु,ru,ru
549,मंडल,mandal,mandal
550,निराले,niraale,nirale
551,सगाई,sagaai,sagai
552,करवटें,karavaten,karavaten
553,खुदगर्ज़ी,khudagari,khudagarzi
554,नीम्बू,nimbu,nimbu
555,अँसुवन,ansuvaa,ansuvan
556,फॉर,por,for
557,टकराया,takaraaya,takaraaya
558,सलीके,salike,salike
559,अँगूर,anguur,angoor
560,पकड़ो,pakado,pakado
561,खेवनहार,khevanahaara,khevanahaar
562,बनवाता,banavaata,banawata
563,साजन,saajan,sajna
564,उठाना,uthaana,uthaanaa
565,बाँचे,baanche,baanche
566,मोड़,mod,modh
567,सवारी,savaari,sawaari
568,फ़रेबी,fareib,farebi
569,पूछ,pucha,puch
570,बरबस,barabas,barabas
571,हमनवां,hamanavaan,hamanavaan
572,हुस्न,husn,husne
573,झनकार,jhanakaar,jhankaar
574,मुस्कुराएंगे,muskuraaegen,muskuraaenge
575,जाने,jaan,jaaye
576,जलती,jalti,jalati
577,जानपुर,jaanpaur,jaanpur
578,परछाइयां,parchaiyaan,parachhaaiyaan
579,बोल,bol,bhoole
580,चुम्बन,chumban,chumban
581,मधुवन,madhuvan,madhuvan
582,तोतली,totali,totali
583,बताए,bataaye,bataye
584,दलदल,daladal,daldal
585,सासरा,saaraasa,sasra
586,सकेगी,sakegi,sakegee
587,नाटक,naatak,naatak
588,पाएँगी,payengi,paayengi
589,विधना,vidhaana,vidhanaa
590,आशियाना,aashiyaan,ashiana
591,परवाना,parawaana,paravaanaa
592,लूँ,luun,loo
593,आँधियों,aandhiyo,aandhiyon
594,जून,juun,jun
595,छुपाके,chhupaake,chhupaake
596,पूजारी,puujaari,puujaari
597,राहे,raahe,raahe
598,कराऊँ,karauun,karaayuun
599,मुर्झाये,murjhaaye,murjhaaye
600,लड़ियाँ,ladiyaan,ladiyan
601,हंसी,hansi,hansii
602,बजाऊँगा,bajaaunga,bajaaungaa
603,धुमकेतुम,dhumakumate,dhumaketum
604,उड़ता,udata,urdta
605,मिलें,milen,milen
606,चुकुमा,chukuma,chukuma
607,बा,ba,bhar
608,तेही,tehi,tehi
609,चालों,chalo,chaalon
610,दिलदारा,dildaaraa,diladaaraa
611,तड़पानेवालि,tadapaanevaali,tadpanewali
612,सुता,suta,suta
613,सकती,sakati,sakti
614,जलाये,jalaaye,jalaaye
615,झूमेंगे,jhuumenge,jhoomenge
616,सुलगते,sulagte,sulagate
617,खूबियाँ,khubiyuan,khubiyaan
618,कुहू,kuhuu,kuhu
619,रोक,rok,rook
620,मुक़ाम,muqaam,muqaam
621,नाले,naale,naale
622,कहूं,kahuun,kahun
623,सोचते,sochte,sochate
624,शरमाये,sharamaaye,sharmaye
625,शोक,shok,shok
626,जीत,jeet,jita
627,बचाना,bachaana,bachaanaa
628,माँद,maadn,maand
629,कहता,kahata,kheta
630,उनको,unako,unko
631,जाति,jaati,jaati
632,उम्मत,ummat,ummat
633,आँसू,aansu,ansu
634,दूसरा,dusaraa,doosra
635,वनवासी,vanavaasi,vanavaasi
636,कबहूँ,kabahaun,kabahoon
