,hindi,predicted,test
2476,बदनसीब,badanasib,badanasiib
2477,शादियाने,shaadiyaane,shaadiyaane
2478,बिसरा,bisara,bisra
2479,पड़ता,padata,padta
2480,झाँका,jhaanka,jhaankaa
2481,अखान,akhaan,akhaan
2482,उपचार,upachaar,upachaar
2483,तनहा,tanaha,tanhaa
2484,मुरारी,muraari,muraari
2485,फ़साना,fasana,fasaanaa
2486,वस्ता,vastaa,vasta
2487,बुझती,bujhati,bujhti
2488,गाएं,gaayen,gaayen
2489,पर्दा,parda,pardaa
2490,पीछेए,pichee,pichhee
2491,रुकमनी,rukamani,rukmani
2492,देखेगी,dekhegi,dekhegee
2493,झूमती,jhoomti,jhuumatii
2494,चेहरा,cheharaa,chehera
2495,महकता,mahakata,mahakata
2496,आईने,aaine,aayne
2497,बाँधा,baandh,bandha
2498,पीने,peene,piine
2499,परा,para,paraa
2500,बरजोरी,barajori,barjori
2501,जतम,jatam,jatam
2502,रहना,rahana,rehnaa
2503,ख़यालों,kayaalon,khayaalon
2504,रतिया,ratiyaa,ratiyaa
2505,ग़ैर,gair,gair
2506,शाला,shaala,shala
2507,दिलासा,dilasaa,dilasa
2508,देखती,dekhati,dekti
2509,गुल्लु,gullu,gullu
2510,गहनों,gahanon,gahanon
2511,दरोगा,darogaa,daroga
2512,शरमाता,sharamaata,sharmaata
2513,दीवारें,deevaarne,diwaare
2514,बाहों,baahon,baaahoin
2515,मांगूं,maanguun,mangun
2516,हुक्कू,hukku,hukkuu
2517,अखियन,akhiyan,akhiyon
2518,पहुंचेगा,pahunchage,pahonchega
2519,सजीला,sajiela,sajila
2520,तालों,taalon,taalon
2521,उठाई,uthi,uthaai
2522,कच्चे,kachche,kachche
2523,सीमा,simaa,seemaa
2524,मकाम,makaam,makaam
2525,अलबेला,alabela,alabela
2526,वादे,wade,waade
2527,वलवले,walavale,walawale
2528,झाँसा,jhaansa,jhaansa
2529,तौलते,taulte,taulate
2530,लड़े,lade,lade
2531,छाते,chhaate,chaate
2532,रास्तों,raaston,raasato
2533,बदलेगी,badalegi,badalegii
2534,अदा,adaa,ada
2535,बेक़सी,beqasi,beqasi
2536,अदाएँ,adayen,adaaen
2537,वाहेगुरु,aavheugar,vaaheguru
2538,आज़माओगे,aazamaaoge,aazmaaoge
2539,उतरन,utaran,utaran
2540,तोद,toda,tod
2541,सुलगी,sulgi,sulgi
2542,बर्सायें,barsaye,barsaaye
2543,दरमियान,daramiyaan,daramiyaan
2544,गिले,gile,gile
2545,आज़ादी,aazadi,azaadi
2546,नहले,nahale,nehle
2547,मुस्कुराता,muskurataa,muskuraataa
2548,चंदा,chanda,chanhda
2549,रियल,riyal,real
2550,पियारी,piyaari,pyaari
2551,दिल्लगी,dillagi,dillagi
2552,बेक़ाबू,beqaabu,beqaabu
2553,श्रीदेवी,shridevi,shridevi
2554,मुसकरा,muskara,musakara
2555,तराज़ू,taraazu,taraazu
2556,नज़ारा,nazaara,najaara
2557,बंसरी,bansari,bansari
2558,बढ़ेगा,badhega,badhegaa
2559,परदा,parada,parda
2560,गरीब,garibi,garib
2561,मदमस्त,madamast,madmast
2562,बिजुरिया,bijuriyaa,bijuriyaa
2563,राम,raam,rama
2564,तुनु,tun,tunu
2565,परित्राणाय,paritaraana,paritraanaay
2566,लंगड़ा,langadaa,langadaa
2567,दुपट्टे,dupatte,dupatte
2568,मिलूंगी,miluungi,miluungii
2569,पढ़,pada,padh
2570,बारात,baaraat,baarat
2571,देना,dena,dena
2572,भूलता,bhulata,bhuulataa
2573,बावारे,baavare,baaware
2574,टकराए,takaraaye,takaraae
2575,किशोरी,kishori,kishorii
2576,खनकाएंगे,khanakaaenge,khankaayenge
2577,चाँदिनी,chaandini,chaandini
2578,बताना,bataana,bataana
2579,हमला,hamala,hamala
2580,करुंगा,karunga,karoonga
2581,टूटा,tuta,tuutaa
2582,बुलाया,bulaaya,bulaya
2583,उठाए,uthaae,uthaaye
2584,मजनू,majnu,majnu
2585,टिम,tim,tima
2586,बेह,beh,beh
2587,बारातें,baaraatein,baaraate
2588,फेरी,pheri,pheri
2589,वात,waat,vat
2590,अफ़साने,afsaane,afasaane
2591,कुछ,kuch,kuch
2592,जागी,jaagi,jaagee
2593,धुलते,dhulate,dhulate
2594,अंखियन,ankhiyan,ankhiyan
2595,दिलारा,dilaara,dilaara
2596,हल्की,halki,halkii
2597,तनहाइयों,tanhaiyaaon,tanahaaiyon
2598,मुस्काये,muskaaye,muskaye
2599,तमाशा,tamaasha,tamasha
2600,कव्वाल,vakaval,kavvaal
2601,निशिगंधा,nishiganda,nishigandhaa
2602,मनाओगे,manaaoge,manaaoge
2603,समा,samaa,samma
2604,जगाये,jagaaye,jagaaye
2605,लगेगी,lagegi,lagegee
2606,मारी,maari,maari
2607,निरधन,niradhan,nirdhan
2608,मेहमाँ,mehumaan,mehemaan
2609,ता,ta,taa
2610,चन्दा,chanda,chandra
2611,पुत,put,put
2612,लहराये,lehraaye,lehraaye
2613,जितना,jitana,jitna
2614,छुपा,chhupaa,chhupaa
2615,वास्ता,vasata,waasta
2616,पगली,pagali,pagali
2617,लहरें,laharein,laharen
2618,टुकड़ा,tukada,tukda
2619,बेनाम,benam,benaam
2620,प्रहार,prahaar,prahaar
2621,रुपये,rupaye,rupaye
2622,पड़ेगा,padega,padegaa
2623,ह,h,he
2624,डालो,daalo,daalo
2625,जागे,jage,jaagey
2626,भ्रमर,bharmar,bhramar
2627,मुख्य,mukha,mukhya
2628,गुन,gun,gaaun
2629,बूटे,boote,buute
2630,विहतांग,vihataang,vihataang
2631,नीन्द,nind,nind
2632,जवान,javaan,jawaani
2633,गुज़रेगा,guzrega,guzaregaa
2634,जियूँगा,jiyuunga,jioongaa
2635,जावा,jaava,jaawa
2636,आज़माया,aazamaaya,aazmaaya
2637,पहरा,paharaa,pahara
2638,महिना,mahina,mahina
2639,खिलाता,khilaata,khilaataa
2640,ठुकराती,thukaraati,thukaraati
2641,रुकना,rukana,rukana
2642,रूठा,ruutha,ruuthaa
2643,बहती,bahati,behti
2644,इनका,inkaa,inaka
2645,रागनी,raagni,ragani
2646,रहगुज़ारों,rahaguzaaron,rehguzaron
2647,नादां,naadaan,nadan
2648,हुमक,humk,humak
2649,नाल,naal,naal
2650,निर्वृद्धा,nirdhvada,nirvriddha
2651,निभाऊंगा,nibhaaunga,nibhaaoonga
2652,ख़ामोशियों,khaamoshiyon,kaamoshiyon
2653,घबराना,ghabaraana,ghabaraanaa
2654,तारीफों,taarion,taarifon
2655,इंतिहा,intihaa,intiha
2656,समझके,samjhake,samajhake
2657,बिरह,biraha,birah
2658,अगड़म,agadam,agadam
2659,आहटें,aahaten,aahaten
2660,मिस्तेर,mister,mister
2661,साँसें,saansen,saasen
2662,भूलकर,bhuulakar,bhulakar
2663,बादशाह,baadashaa,baadshaah
2664,अचकाए,achakaaye,achakaaye
2665,दील,dil,dil
2666,तड़ि,tadi,tadi
2667,चमकीलें,chamakilen,chamkile
2668,नाला,naalaa,naalaa
2669,ज्वाला,jvaala,jwaalaa
2670,महीना,mahiana,mahina
2671,खतरों,khataron,khataron
2672,परछाई,parchaai,parachhaai
2673,फ़िज़ायें,fizaayee,fijaayen
2674,झिलमिलाये,jhilamilaaye,jhilmilaye
2675,वाद,wada,vaad
2676,वरदान,varadaan,wardaan
2677,अंधेरे,andhere,andherey
2678,दीवाने,diwaane,divaane
2679,आकाशों,aakaashon,aakaashon
2680,मर्ग,marg,marg
2681,भूलें,bhuulen,bhoolen
2682,कुच,kuch,kuch
2683,जियोगी,jiyogi,jeeyogi
2684,रोकी,roki,rokee
2685,छोड़ी,chodi,chhodhi
2686,प्याला,pyaala,pyaala
2687,हवाओ,hawaao,hawaao
2688,विक्रमने,vikramane,vikramane
2689,गईं,gayi,gayee
2690,बेवजह,bejavah,bevajaah
2691,कहेगा,kahegaa,kahegaa
2692,मिलवाया,milwaaya,milwaya
2693,दुखाना,dukhaana,dukhaana
2694,बंधाता,bandhaata,bandhaataa
2695,पश्छिम,pashchim,pashchhim
2696,अमीरज़ादी,ameeraadai,ameerzaadi
2697,गाती,gaati,gaatee
2698,उजड़ने,ujadane,ujadane
2699,शोख़ियाँ,shokiyaan,shokhiyaan
2700,खूबसूरत,khubasurat,khubasoorat
2701,चिन,chin,chin
2702,तोहरी,tohri,tohari
2703,समझाने,samajhaane,samjhane
2704,जोड़ा,jodaa,joda
2705,विजय,vijay,wijay
2706,मतवाला,matwaala,matwaala
2707,ग़ुज़रे,guzare,guzre
2708,रोकें,roken,roke
2709,बहाते,bahaate,bahaate
2710,आमबर,aamabar,aamber
2711,अंधों,andhon,andhon
2712,लूटा,luta,lootaa
2713,क्षमा,kshama,kshamaa
2714,फेरों,pheron,phero
2715,लोरी,lori,lori
2716,चुपाना,chupaana,chupana
2717,रसमें,rasameen,rasamen
2718,नौजवानी,naujawaani,naujavaani
2719,रंगवाई,rangavai,rangvaayi
2720,नाचता,naachaat,naachata
2721,किराया,kiraaya,kiraaya
2722,दिखाऊँगा,dikhaaunga,dikhaaoonga
2723,मोहताज़,mohataaz,mohataaz
2724,बालियाँ,baaliyaan,baaliyaan
2725,ख़ाक़,kaa,kaq
2726,छुप्पी,chhuppi,chhuppi
2727,माँगता,maangata,mangata
2728,दूबे,dube,doobe
2729,दंगा,danga,danga
2730,शरारा,sharaara,sharaaraa
2731,लूटकर,lutakar,lootkar
2732,शरमाओगी,sharmaaogi,sharamaaogi
2733,चटपटी,chatapati,chatpati
2734,अकल,akal,akal
2735,मैदान,maidaan,maidan
2736,चनारों,chanaaron,chanaaron
2737,सोचेंगे,sochenge,sochenge
2738,नोच,noch,noch
2739,सिंध,sindh,sindh
2740,पहुँचना,pahunchana,pahuchna
2741,हामी,hami,haami
2742,चुई,chui,chhui
2743,केड़ी,kedi,kedi
2744,लुटाऊंगी,lutaauungi,lutaungi
2745,अँगड़ाई,angdaai,angadaai
2746,चमकत,chamakat,chamakat
2747,मुसीबत,musibat,musiibat
2748,छोड़ा,choda,chhodha
2749,थोड़ा,thoda,thodaa
2750,परस्तार,parastaar,parastar
2751,केरल,keral,keral
2752,कबीरा,kabeera,kabeera
2753,खूबसूरत,khubasurat,khubsoorat
2754,कोहू,kohuu,kohu
2755,कारवाँ,kaaravaan,kaarwaan
2756,आँसों,aanson,ansoon
2757,महँगा,mehnga,mehanga
2758,हाथ,hath,haath
2759,होंठों,honton,hothon
2760,पूजना,poojaana,poojanaa
2761,झाँक,jhaank,jhaank
2762,शरारे,sharaare,sharaare
2763,पैग़ाम,paighaam,paigaam
2764,छोड़ेंगे,chhodenge,chodenge
2765,बातें,baaten,baithen
2766,सताएगा,sataayega,sattayega
2767,बाँवरी,baavari,baawaree
2768,नाकामयाब,naakamayaab,naakaamayaab
2769,प्यारा,pyaara,pyaara
2770,खाया,khaaya,khaya
2771,पूछिये,puuchhiye,poochhiye
2772,अरमानों,aramaanon,armanon
2773,वितरत,vitarat,vitarat
2774,सारा,saaraa,saara
2775,नाचें,nachen,nachein
2776,शान,shan,shaan
2777,फिरेगा,phirega,phiregaa
2778,बहायें,bahaayen,bahaayein
2779,निंदिया,nindiyaa,nindiyaan
2780,जल्ते,jalte,jalte
2781,बजने,bajane,bajne
2782,रूपा,roopa,ruupa
2783,पुकारा,pukaaraa,pukara
2784,अँधियारा,andiyaara,andhiyaaraa
2785,माह,mah,maah
2786,गूंगी,guungi,goongi
2787,घुम,ghum,ghum
2788,खोए,khoe,khoe
2789,बचना,bachana,bachnaa
2790,पोते,pote,pote
2791,हरकतें,harakaten,harkatein
2792,किसकी,kisaki,kisaki
2793,रुकती,rukti,rukatee
2794,बिकते,bikate,bikte
2795,घबराऊँ,ghabaraaoo,ghabaraaun
2796,सबकी,sabki,sabaki
2797,लाग्यो,laagoy,laagyo
2798,बेचारी,bechari,bechaarii
2799,चेहरे,chhere,chehera
2800,जगाई,jagaai,jagaai
2801,सारी,saari,shaadi
2802,चरावत,charaavat,charavat
2803,टेढ़ा,tedha,teda
2804,यारा,yaara,yara
2805,रोयेगा,royega,royegaa
2806,एह,eh,eh
2807,बरसातें,barasaate,barsaatein
2808,दुर्वासा,durvaasa,durvaasa
2809,पैसा,paisaa,paisa
2810,रहगुजर,rahgujar,rehguzar
2811,अच्चा,achcha,achchaa
2812,हैराँ,hairaan,hairaan
2813,कदमों,kadamon,kadamon
2814,मुस्कन,muskan,muskan
2815,सुमा,suma,summa
2816,चुराना,churaana,churaana
2817,फ़र्माना,farmaana,farmana
2818,दीवाली,deewaali,diwali
2819,क़दम,qadam,qadam
2820,रुसवाइयों,rusavaayiyon,rusavaaiyon
2821,पिया,piyaa,piya
2822,प्रीत,prit,preeta
2823,सतायेंगी,sataayengi,sataayengi
2824,भटकेंगे,bhatakenge,bhatakenge
2825,जलाये,jalaaye,jalaye
2826,छाला,chhaala,chhaala
2827,उंगली,ungli,ungali
2828,गोहर,gohar,gohar
2829,किस्से,kisse,kisse
2830,पहने,pahane,pehne
2831,जाउंगा,jaaungaa,jaaunga
2832,बदरा,badara,badraa
2833,गुज़री,guzri,guzarii
2834,बतला,batla,batalaa
2835,आराम,aaraam,aaram
2836,चकराये,chakaraaye,chakraaye
2837,भीगा,bhiga,bheega
2838,सितम,sitam,sitam
2839,लाओ,laao,laayo
2840,साँवला,saanvala,saanwala
2841,करती,karati,karte
2842,लौंडा,laduna,launda
2843,बंदर,bandar,bandar
2844,बेचेंगे,bechenge,bechenge
2845,विलास,vilaas,vilaas
2846,मनबसिया,manabaisan,manabasiya
2847,बिकने,bikne,bikne
2848,बुझाये,bujhaaye,bujhaaye
2849,ब्रिंदापन,brindaapan,brindaapan
2850,मनरिया,manariya,manariyaa
2851,पूछूंगा,poochunga,puuchhuunga
2852,कटोरी,katori,katorii
2853,गले,gale,gaale
2854,बरखावाली,barakhaavaali,barakhaawaali
2855,तक़दीरें,taqadeeren,taqdeerein
2856,चाभी,chaabi,chaabhi
2857,बरहन,barahan,barahan
2858,चलाकर,chalaakar,chalaakar
2859,जैक्,jaki,jeck
2860,इसपे,isape,isape
2861,रू,ru,ru
2862,पवनिया,pavaniya,pawaniya
2863,सुनेगी,sunegi,sunegi
2864,मिलादे,milaade,milade
2865,निकलेगा,nikalega,nikalega
2866,वादों,waadon,vaadon
2867,हूक,hok,huk
2868,बुराई,burai,buraai
2869,आयेगा,aayegaa,ayega
2870,कलमा,kalama,kalma
2871,रब,raba,rab
2872,सहरों,saharon,sahraon
2873,पटना,patana,patana
2874,बाना,baana,baalaa
2875,गँवानी,ganvaani,ganvaani
2876,देगी,degi,degee
2877,बेसहारे,beshaare,besahaare
2878,सहना,sehana,sehnaa
2879,पिये,piye,piye
2880,हँसने,hansane,hasane
2881,फुला,phulaa,phula
2882,तनहाई,tanahaai,tanhaayi
2883,जुगनूँ,juganuun,juganuun
2884,सबने,sabne,sabane
2885,जनानी,janaani,janaani
2886,वफ़ाएं,wafaayen,vafaaen
2887,खुलकर,khulakar,khulkar
2888,ज़ू,zu,zu
2889,लेवा,levaa,lewa
2890,विपद,vipad,vipad
2891,जपी,japi,japi
2892,तड़पकर,tadakapar,tadapakar
2893,टूटता,tuutaat,tuutata
2894,जताया,jataayaa,jataaya
2895,पीना,peenaa,peena
2896,मंगता,mangata,mangta
2897,नाचने,naachane,naachne
2898,पतिया,patiyaa,patiya
2899,ब्रिंदाबन,brindaana,brindaaban
2900,मुस्कुराओ,muskuraao,musakuraoo
2901,बताऊँगी,bataaungi,bataaungi
2902,मेहनत,mehanat,mehnat
2903,लारा,laara,lara
2904,नाज़ूक,nazuk,naazook
2905,वर्ना,varna,warna
2906,मस्ती,masti,masti
2907,फुलवारी,phulavaari,phulavaari
2908,खुश्बू,khushbu,khushbu
2909,रहीं,rahin,raheen
2910,उड़ाओ,udaao,udao
2911,कागज़,kaagaz,kagaz
2912,पहुंच,pahunch,pahunch
2913,गायें,gaayen,gaayen
2914,दिखाने,dikhaane,dikhaane
2915,बुलाने,bulaane,bulane
2916,वारी,vaari,vaari
2917,उनसे,unase,unnse
2918,जमी,jami,jami
2919,राहगुज़र,raahaguzar,rahaguzar
2920,गिरकर,ghirakar,girakar
2921,बहनें,bahen,bahanen
2922,मारामारामा,maaramaaraama,maaraamaaraama
2923,वेदन,vedan,vedan
2924,रहते,rahate,rahetey
2925,पते,pate,pate
2926,प्रभात,praabhaat,prabhaat
2927,सुलगता,sulgata,sulagta
2928,अंधे,andhe,andhe
2929,कीजिए,kiiji,kijeye
2930,मनभावन,manabhaavan,manabhaawan
2931,देरे,dere,dere
2932,तिहारी,tihaari,tihaaree
2933,बढ़ाओ,badhaao,badhao
2934,आइयो,aaiyo,aaiyo
2935,निहारूँ,nihaaruun,niharu
2936,जनाब,janaab,janaab
2937,लहराएँगे,laharaayenge,laharaayenge
2938,रुपहली,rupahali,rupahali
2939,पैर्दोन,pairdon,pairdon
2940,रागिनी,ragini,raaginii
2941,बसर,basar,basar
2942,लड़ना,ladana,ladanaa
2943,दिलवालों,dilavaalon,dilawaalo
2944,चिलमन,chilaman,chilman
2945,कूचा,kuucha,kuuchaa
2946,देखे,dekhe,dekde
2947,बचना,bachana,bachna
2948,जपती,japati,japati
2949,रही,rahi,rahi
2950,फ़रमाते,faramaate,farmate
2951,दीवानी,deewaani,divaanii
2952,दुनिया,duniyaa,dhuniyaa
2953,दादा,daada,dada
2954,किरनें,kirane,kiranen
2955,निंदियन,nindiyaan,nindiyan
2956,बरखा,barakha,barakha
2957,चमकाओ,chamakaao,chamakaao
2958,तोड़ूं,toduun,todun
2959,दरवज्जा,daravajaj,daravajjaa
2960,रुत,rut,ruth
2961,हमजोली,humajoli,hamjoli
2962,शायद,shaayad,shayad
2963,यूं,yu,youn
2964,मेरिये,meriye,meriye
2965,नी,ni,ni
2966,कबसे,kabase,kabase
2967,विकार,vikaar,vikaar
2968,उड़ाई,udaai,udaayi
2969,भुलाओगे,bhulaaoge,bhulaayoge
2970,हाथवाला,hathavaala,haathawaala
2971,हसीना,hasina,haseenaa
2972,प्रताप,pratapa,prataap
2973,साँचे,saanche,saanche
2974,अधूरी,adhuri,adhuuri
2975,लश्कर,lashkar,lashkar
2976,कली,kali,kali
2977,छाए,chaye,chaahe
2978,हवाओं,hawaaon,hawavon
2979,सरगोशियाँ,sargoshiyaan,sargoshiyaan
2980,जाति,jaati,jati
2981,और,r,oh
2982,छुटकारा,chhutakaara,chhutkaara
2983,पहुँची,pahunchi,pahunchi
2984,सजते,sajate,sajte
2985,सप्त,sapt,sapta
2986,अमीरी,ameeri,ameeri
2987,छान,chhan,chaan
2988,पहलेसे,pahalese,pahalese
2989,बाबुल,baabul,baabool
2990,मोड़के,modke,modake
2991,गुजरिया,gujariya,gujariyaa
2992,तालियाँ,taaliyaan,taaliyaan
2993,उपकार,upakaar,upkar
2994,पटक,patak,patak
2995,सजाएंगे,sajayenge,sajaayenge
2996,बुज़दिलों,buzadilon,buzdilon
2997,रीतें,reeten,ritein
2998,हीरो,hiro,hiro
2999,गूंजत,goonjat,guunjat
3000,अन्त्पन,antpan,antpan
3001,पड़त,padat,padat
3002,दीवारें,deevaarne,diivaarein
3003,इनकी,inka,inaki
3004,दीवार,deevar,diivaar
3005,तरसते,tarasate,taraste
3006,मैने,maine,mane
3007,हमारी,hamaari,hamari
3008,मारें,maarein,marein
3009,बदतमीज़ी,badatamizi,budtameezi
3010,बदलती,badalati,badalatii
3011,रगड़ा,ragda,ragada
3012,कारवाँ,kaaravaan,caaravaan
3013,गंगा,ganga,gangaa
3014,अदाओ,adaao,adaao
3015,सुसराल,susaraal,susaraal
3016,चिंता,chinta,chinta
3017,करीब,kareen,qarib
3018,गजरा,gajaraa,gajra
3019,जानके,jaanke,jaanake
3020,जीतना,jeetna,jeetana
3021,समझाता,samjhaataa,samajhata
3022,भँवरा,bhanvara,bhanwra
3023,साजना,saajaana,sajana
3024,कहता,kahata,kahta
3025,छुड़ा,chhuda,chhuda
3026,चाहूंगी,chaahoongi,chahungi
3027,अंगड़ाई,angadaai,angdhaayi
3028,सिम्त,simt,simt
3029,गोपाल,gopaal,gopaala
3030,मुरझा,murajha,murajhaa
3031,हमका,hamaka,humakaa
3032,सनम,sanam,sanma
3033,अगले,agale,agle
3034,बचेगा,bachega,bachegaa
3035,वोही,vohi,vohi
3036,पीली,peeli,pili
3037,तक़रार,taqaraar,takraar
3038,तारा,tara,taaraa
3039,घाव,ghaav,ghaav
3040,टकराई,takaraai,takraayi
3041,बीती,biti,beti
3042,चढ़े,chadhe,chadhe
3043,दूंगा,dunga,duungaa
3044,ख़ुदाया,khudaayaa,kudaaya
3045,फ़रियाद,farayaad,faryaad
3046,रंगरूट,rangaruut,rangarut
3047,टली,tali,tali
3048,मरजीना,marajina,marjina
3049,बसाया,basaaya,basaaya
3050,उड़ाओ,udaao,udaawo
3051,सुन,sun,suun
3052,बिसराई,bisaraai,bisaraai
3053,सैंया,sainyaa,sainyaa
3054,सुहम,suham,suhm
3055,धड़क्नों,dhadkanon,dhadaknon
3056,ललकारें,lalakaaren,lalakaarein
3057,बेटों,beton,beton
3058,खिलतीं,khilati,khiltin
3059,खिचड़ी,khichadi,khichadi
3060,बाँग,baang,baang
3061,लोग्गो,loggo,loggo
3062,नाचा,nacha,nacha
3063,तोड़ते,todate,todate
3064,पगली,pagali,pagalii
3065,आजमाना,aajamaana,azmana
3066,चुनरिया,chunaariya,chunariya
3067,दबी,dabi,dabee
3068,जनमा,janama,janamaa
3069,चहें,chahen,chahen
3070,यक़ीं,yaqiin,yaqeen
3071,मेहरा,mehara,mehara
3072,बिछाके,bichhaake,bichhaake
3073,भँवरे,bhanvare,bhanware
3074,करूँगा,karunga,karuunga
3075,मैदान,maidaan,maidaan
3076,ज़ुर्माना,zurmaana,zurmaana
3077,खाक,khaak,khaak
3078,पागल,paagal,pagel
3079,प्रीतम,primat,pritam
3080,भीगूँगी,bhigungi,bheegungi
3081,लुभाती,lubhaati,lubhati
3082,खूबसूरत,khubasurat,khubsurat
